period,client_id,service_line,man_hours_billed,external_production_cost,internal_cost_per_hour
2024-03-01,SMS-1014,Digital Strategy,15,0,350000
2024-03-01,SMS-1015,Creative Production,50,51752998,350000
2024-03-01,SMS-1015,Media Performance,52,0,350000
2024-03-01,SMS-1016,Creative Production,18,7272764,350000
2024-03-01,SMS-1016,Digital Strategy,16,0,350000
2024-03-01,SMS-1017,Media Performance,42,0,350000
2024-03-01,SMS-1018,Creative Production,58,27524483,350000
2024-03-01,SMS-1019,Creative Production,78,20663983,350000
2024-03-01,SMS-1020,Media Performance,26,0,350000
2024-03-01,SMS-1020,Creative Production,35,10186788,350000
2024-03-01,SMS-1022,Digital Strategy,13,0,350000
2024-03-01,SMS-1022,Media Performance,29,0,350000
2024-03-01,SMS-1023,Media Performance,17,0,350000
2024-03-01,SMS-1025,Creative Production,72,17020032,350000
2024-03-01,SMS-1026,Creative Production,96,39237444,350000
2024-03-01,SMS-1027,Digital Strategy,42,0,350000
2024-03-01,SMS-1029,Media Performance,48,0,350000
2024-03-01,SMS-1029,Digital Strategy,43,0,350000
2024-03-01,SMS-1030,Digital Strategy,73,0,350000
2024-03-01,SMS-1031,Creative Production,60,26516999,350000
2024-03-01,SMS-1031,Media Performance,74,0,350000
2024-03-01,SMS-1035,Digital Strategy,72,0,350000
2024-03-01,SMS-1036,Digital Strategy,14,0,350000
2024-03-01,SMS-1037,Media Performance,183,0,350000
2024-03-01,SMS-1037,Creative Production,189,56680703,350000
2024-03-01,SMS-1039,Digital Strategy,46,0,350000
2024-03-01,SMS-1040,Media Performance,27,0,350000
2024-03-01,SMS-1040,Digital Strategy,25,0,350000
2024-03-01,SMS-1042,Creative Production,61,34796232,350000
2024-03-01,SMS-1042,Media Performance,43,0,350000
2024-03-01,SMS-1043,Media Performance,19,0,350000
2024-03-01,SMS-1045,Media Performance,66,0,350000
2024-03-01,SMS-1045,Digital Strategy,53,0,350000
2024-03-01,SMS-1047,Media Performance,60,0,350000
2024-03-01,SMS-1049,Media Performance,58,0,350000
2024-03-01,SMS-1051,Digital Strategy,186,0,350000
2024-03-01,SMS-1053,Creative Production,64,41566589,350000
2024-03-01,SMS-1053,Media Performance,37,0,350000
2024-03-01,SMS-1056,Digital Strategy,143,0,350000
2024-03-01,SMS-1060,Digital Strategy,27,0,350000
2024-03-01,SMS-1060,Media Performance,27,0,350000
2024-03-01,SMS-1061,Creative Production,29,7362762,350000
2024-03-01,SMS-1061,Media Performance,18,0,350000
2024-03-01,SMS-1065,Creative Production,78,24312899,350000
2024-03-01,SMS-1065,Media Performance,48,0,350000
2024-03-01,SMS-1067,Creative Production,96,36851821,350000
2024-03-01,SMS-1070,Media Performance,72,0,350000
2024-03-01,SMS-1070,Digital Strategy,41,0,350000
2024-03-01,SMS-1071,Media Performance,29,0,350000
2024-03-01,SMS-1071,Creative Production,18,9434588,350000
2024-03-01,SMS-1072,Creative Production,21,10993659,350000
2024-03-01,SMS-1075,Media Performance,44,0,350000
2024-03-01,SMS-1076,Digital Strategy,27,0,350000
2024-03-01,SMS-1076,Media Performance,22,0,350000
2024-03-01,SMS-1078,Media Performance,38,0,350000
2024-03-01,SMS-1078,Creative Production,100,28905326,350000
2024-03-01,SMS-1079,Creative Production,58,13708601,350000
2024-03-01,SMS-1085,Creative Production,25,6525452,350000
2024-03-01,SMS-1085,Digital Strategy,12,0,350000
2024-03-01,SMS-1087,Media Performance,60,0,350000
2024-03-01,SMS-1090,Creative Production,147,112261495,350000
2024-03-01,SMS-1090,Media Performance,111,0,350000
2024-03-01,SMS-1092,Digital Strategy,71,0,350000
2024-03-01,SMS-1094,Media Performance,22,0,350000
2024-03-01,SMS-1095,Media Performance,39,0,350000
2024-03-01,SMS-1096,Digital Strategy,18,0,350000
2024-03-01,SMS-1096,Media Performance,27,0,350000
2024-03-01,SMS-1100,Digital Strategy,37,0,350000
2024-03-01,SMS-1101,Creative Production,183,53526363,350000
2024-03-01,SMS-1102,Media Performance,19,0,350000
2024-03-01,SMS-1103,Media Performance,73,0,350000
2024-03-01,SMS-1105,Media Performance,48,0,350000
2024-03-01,SMS-1105,Creative Production,60,32529111,350000
2024-03-01,SMS-1107,Media Performance,73,0,350000
2024-03-01,SMS-1108,Media Performance,42,0,350000
2024-03-01,SMS-1108,Creative Production,54,36913019,350000
2024-03-01,SMS-1109,Media Performance,163,0,350000
2024-03-01,SMS-1109,Creative Production,246,98814364,350000
2024-03-01,SMS-1110,Digital Strategy,15,0,350000
2024-03-01,SMS-1112,Creative Production,84,34985464,350000
2024-03-01,SMS-1113,Media Performance,45,0,350000
2024-03-01,SMS-1113,Digital Strategy,69,0,350000
2024-03-01,SMS-1115,Media Performance,22,0,350000
2024-03-01,SMS-1117,Digital Strategy,49,0,350000
2024-03-01,SMS-1117,Media Performance,35,0,350000
2024-03-01,SMS-1122,Media Performance,15,0,350000
2024-03-01,SMS-1123,Digital Strategy,49,0,350000
2024-03-01,SMS-1125,Digital Strategy,36,0,350000
2024-03-01,SMS-1126,Media Performance,186,0,350000
2024-03-01,SMS-1132,Digital Strategy,21,0,350000
2024-03-01,SMS-1134,Digital Strategy,28,0,350000
2024-03-01,SMS-1134,Creative Production,29,18790466,350000
2024-03-01,SMS-1135,Media Performance,42,0,350000
2024-03-01,SMS-1136,Media Performance,71,0,350000
2024-03-01,SMS-1140,Media Performance,127,0,350000
2024-03-01,SMS-1142,Digital Strategy,21,0,350000
2024-03-01,SMS-1143,Media Performance,12,0,350000
2024-03-01,SMS-1144,Digital Strategy,127,0,350000
2024-03-01,SMS-1144,Creative Production,148,51463947,350000
2024-03-01,SMS-1145,Media Performance,13,0,350000
2024-03-01,SMS-1149,Media Performance,44,0,350000
2024-04-01,SMS-1000,Creative Production,26,5197714,350000
2024-04-01,SMS-1002,Digital Strategy,13,0,350000
2024-04-01,SMS-1002,Media Performance,20,0,350000
2024-04-01,SMS-1004,Creative Production,35,11342081,350000
2024-04-01,SMS-1005,Creative Production,89,27365935,350000
2024-04-01,SMS-1005,Media Performance,74,0,350000
2024-04-01,SMS-1012,Digital Strategy,70,0,350000
2024-04-01,SMS-1012,Creative Production,58,38472647,350000
2024-04-01,SMS-1013,Digital Strategy,16,0,350000
2024-04-01,SMS-1013,Creative Production,30,11635044,350000
2024-04-01,SMS-1014,Digital Strategy,12,0,350000
2024-04-01,SMS-1014,Creative Production,37,12299946,350000
2024-04-01,SMS-1015,Media Performance,49,0,350000
2024-04-01,SMS-1016,Creative Production,29,12793029,350000
2024-04-01,SMS-1017,Media Performance,43,0,350000
2024-04-01,SMS-1017,Creative Production,79,23595693,350000
2024-04-01,SMS-1018,Digital Strategy,54,0,350000
2024-04-01,SMS-1019,Media Performance,37,0,350000
2024-04-01,SMS-1019,Digital Strategy,74,0,350000
2024-04-01,SMS-1020,Digital Strategy,17,0,350000
2024-04-01,SMS-1022,Media Performance,29,0,350000
2024-04-01,SMS-1023,Creative Production,19,8334289,350000
2024-04-01,SMS-1025,Digital Strategy,69,0,350000
2024-04-01,SMS-1026,Digital Strategy,49,0,350000
2024-04-01,SMS-1027,Digital Strategy,47,0,350000
2024-04-01,SMS-1027,Media Performance,56,0,350000
2024-04-01,SMS-1029,Digital Strategy,60,0,350000
2024-04-01,SMS-1030,Creative Production,74,23971418,350000
2024-04-01,SMS-1030,Digital Strategy,53,0,350000
2024-04-01,SMS-1031,Media Performance,42,0,350000
2024-04-01,SMS-1032,Creative Production,57,14188261,350000
2024-04-01,SMS-1032,Media Performance,67,0,350000
2024-04-01,SMS-1035,Media Performance,61,0,350000
2024-04-01,SMS-1036,Creative Production,37,7356003,350000
2024-04-01,SMS-1036,Digital Strategy,19,0,350000
2024-04-01,SMS-1037,Media Performance,128,0,350000
2024-04-01,SMS-1038,Media Performance,44,0,350000
2024-04-01,SMS-1039,Digital Strategy,47,0,350000
2024-04-01,SMS-1039,Media Performance,51,0,350000
2024-04-01,SMS-1040,Media Performance,27,0,350000
2024-04-01,SMS-1040,Digital Strategy,15,0,350000
2024-04-01,SMS-1042,Media Performance,62,0,350000
2024-04-01,SMS-1043,Media Performance,12,0,350000
2024-04-01,SMS-1044,Digital Strategy,42,0,350000
2024-04-01,SMS-1045,Creative Production,67,33959040,350000
2024-04-01,SMS-1046,Media Performance,51,0,350000
2024-04-01,SMS-1047,Creative Production,77,21010509,350000
2024-04-01,SMS-1047,Digital Strategy,67,0,350000
2024-04-01,SMS-1049,Media Performance,43,0,350000
2024-04-01,SMS-1050,Digital Strategy,58,0,350000
2024-04-01,SMS-1051,Digital Strategy,100,0,350000
2024-04-01,SMS-1053,Media Performance,64,0,350000
2024-04-01,SMS-1055,Creative Production,98,28305250,350000
2024-04-01,SMS-1056,Media Performance,142,0,350000
2024-04-01,SMS-1058,Media Performance,49,0,350000
2024-04-01,SMS-1059,Media Performance,147,0,350000
2024-04-01,SMS-1059,Digital Strategy,128,0,350000
2024-04-01,SMS-1060,Media Performance,12,0,350000
2024-04-01,SMS-1060,Digital Strategy,12,0,350000
2024-04-01,SMS-1061,Digital Strategy,23,0,350000
2024-04-01,SMS-1062,Digital Strategy,37,0,350000
2024-04-01,SMS-1063,Digital Strategy,18,0,350000
2024-04-01,SMS-1064,Media Performance,58,0,350000
2024-04-01,SMS-1065,Media Performance,39,0,350000
2024-04-01,SMS-1067,Digital Strategy,60,0,350000
2024-04-01,SMS-1067,Creative Production,95,22766236,350000
2024-04-01,SMS-1069,Media Performance,16,0,350000
2024-04-01,SMS-1070,Creative Production,89,40241658,350000
2024-04-01,SMS-1070,Media Performance,57,0,350000
2024-04-01,SMS-1071,Creative Production,32,10476927,350000
2024-04-01,SMS-1072,Creative Production,37,11900278,350000
2024-04-01,SMS-1073,Media Performance,16,0,350000
2024-04-01,SMS-1075,Media Performance,51,0,350000
2024-04-01,SMS-1076,Creative Production,30,11572725,350000
2024-04-01,SMS-1078,Digital Strategy,68,0,350000
2024-04-01,SMS-1078,Creative Production,75,15274848,350000
2024-04-01,SMS-1079,Media Performance,69,0,350000
2024-04-01,SMS-1080,Digital Strategy,45,0,350000
2024-04-01,SMS-1083,Digital Strategy,21,0,350000
2024-04-01,SMS-1086,Digital Strategy,26,0,350000
2024-04-01,SMS-1086,Creative Production,26,10771351,350000
2024-04-01,SMS-1087,Digital Strategy,66,0,350000
2024-04-01,SMS-1087,Media Performance,74,0,350000
2024-04-01,SMS-1090,Creative Production,140,86315054,350000
2024-04-01,SMS-1091,Media Performance,74,0,350000
2024-04-01,SMS-1092,Creative Production,70,30496311,350000
2024-04-01,SMS-1094,Creative Production,16,7905116,350000
2024-04-01,SMS-1095,Media Performance,47,0,350000
2024-04-01,SMS-1096,Digital Strategy,26,0,350000
2024-04-01,SMS-1096,Media Performance,26,0,350000
2024-04-01,SMS-1097,Media Performance,13,0,350000
2024-04-01,SMS-1098,Digital Strategy,27,0,350000
2024-04-01,SMS-1098,Media Performance,13,0,350000
2024-04-01,SMS-1100,Digital Strategy,48,0,350000
2024-04-01,SMS-1101,Digital Strategy,168,0,350000
2024-04-01,SMS-1102,Media Performance,20,0,350000
2024-04-01,SMS-1105,Creative Production,81,26843556,350000
2024-04-01,SMS-1106,Digital Strategy,132,0,350000
2024-04-01,SMS-1107,Digital Strategy,73,0,350000
2024-04-01,SMS-1108,Digital Strategy,59,0,350000
2024-04-01,SMS-1108,Creative Production,77,43787413,350000
2024-04-01,SMS-1109,Digital Strategy,110,0,350000
2024-04-01,SMS-1110,Digital Strategy,23,0,350000
2024-04-01,SMS-1112,Creative Production,68,46904248,350000
2024-04-01,SMS-1112,Digital Strategy,66,0,350000
2024-04-01,SMS-1113,Creative Production,85,51409170,350000
2024-04-01,SMS-1113,Digital Strategy,45,0,350000
2024-04-01,SMS-1115,Digital Strategy,15,0,350000
2024-04-01,SMS-1117,Digital Strategy,62,0,350000
2024-04-01,SMS-1119,Digital Strategy,151,0,350000
2024-04-01,SMS-1122,Creative Production,28,14946774,350000
2024-04-01,SMS-1122,Media Performance,16,0,350000
2024-04-01,SMS-1123,Media Performance,45,0,350000
2024-04-01,SMS-1125,Digital Strategy,53,0,350000
2024-04-01,SMS-1125,Creative Production,71,36196152,350000
2024-04-01,SMS-1126,Media Performance,157,0,350000
2024-04-01,SMS-1131,Digital Strategy,173,0,350000
2024-04-01,SMS-1132,Creative Production,39,14345402,350000
2024-04-01,SMS-1133,Creative Production,99,36997262,350000
2024-04-01,SMS-1133,Media Performance,60,0,350000
2024-04-01,SMS-1134,Media Performance,15,0,350000
2024-04-01,SMS-1135,Media Performance,59,0,350000
2024-04-01,SMS-1136,Creative Production,50,26611512,350000
2024-04-01,SMS-1139,Media Performance,72,0,350000
2024-04-01,SMS-1140,Digital Strategy,140,0,350000
2024-04-01,SMS-1140,Creative Production,204,83191537,350000
2024-04-01,SMS-1142,Media Performance,23,0,350000
2024-04-01,SMS-1143,Digital Strategy,13,0,350000
2024-04-01,SMS-1144,Media Performance,172,0,350000
2024-04-01,SMS-1145,Digital Strategy,17,0,350000
2024-04-01,SMS-1146,Creative Production,64,27579574,350000
2024-04-01,SMS-1147,Creative Production,178,112974704,350000
2024-04-01,SMS-1148,Creative Production,81,28864543,350000
2024-04-01,SMS-1149,Media Performance,64,0,350000
2024-05-01,SMS-1000,Media Performance,12,0,350000
2024-05-01,SMS-1002,Digital Strategy,13,0,350000
2024-05-01,SMS-1004,Media Performance,26,0,350000
2024-05-01,SMS-1004,Digital Strategy,15,0,350000
2024-05-01,SMS-1005,Digital Strategy,57,0,350000
2024-05-01,SMS-1006,Creative Production,25,11711451,350000
2024-05-01,SMS-1008,Media Performance,150,0,350000
2024-05-01,SMS-1009,Media Performance,57,0,350000
2024-05-01,SMS-1010,Media Performance,52,0,350000
2024-05-01,SMS-1012,Creative Production,79,16548909,350000
2024-05-01,SMS-1012,Digital Strategy,58,0,350000
2024-05-01,SMS-1013,Digital Strategy,22,0,350000
2024-05-01,SMS-1013,Creative Production,18,14421811,350000
2024-05-01,SMS-1014,Digital Strategy,17,0,350000
2024-05-01,SMS-1015,Media Performance,68,0,350000
2024-05-01,SMS-1016,Creative Production,40,15010920,350000
2024-05-01,SMS-1017,Digital Strategy,50,0,350000
2024-05-01,SMS-1018,Creative Production,62,29723008,350000
2024-05-01,SMS-1018,Media Performance,39,0,350000
2024-05-01,SMS-1019,Creative Production,72,41581929,350000
2024-05-01,SMS-1020,Creative Production,25,15943072,350000
2024-05-01,SMS-1022,Creative Production,25,13978064,350000
2024-05-01,SMS-1023,Digital Strategy,14,0,350000
2024-05-01,SMS-1023,Media Performance,16,0,350000
2024-05-01,SMS-1024,Digital Strategy,17,0,350000
2024-05-01,SMS-1024,Creative Production,16,13381099,350000
2024-05-01,SMS-1025,Media Performance,63,0,350000
2024-05-01,SMS-1026,Media Performance,62,0,350000
2024-05-01,SMS-1027,Digital Strategy,70,0,350000
2024-05-01,SMS-1028,Digital Strategy,61,0,350000
2024-05-01,SMS-1028,Media Performance,39,0,350000
2024-05-01,SMS-1029,Digital Strategy,46,0,350000
2024-05-01,SMS-1029,Creative Production,71,28038314,350000
2024-05-01,SMS-1030,Media Performance,37,0,350000
2024-05-01,SMS-1031,Creative Production,91,32430343,350000
2024-05-01,SMS-1032,Digital Strategy,35,0,350000
2024-05-01,SMS-1033,Digital Strategy,72,0,350000
2024-05-01,SMS-1035,Media Performance,62,0,350000
2024-05-01,SMS-1035,Digital Strategy,59,0,350000
2024-05-01,SMS-1036,Media Performance,22,0,350000
2024-05-01,SMS-1037,Digital Strategy,170,0,350000
2024-05-01,SMS-1037,Creative Production,141,75549761,350000
2024-05-01,SMS-1038,Digital Strategy,44,0,350000
2024-05-01,SMS-1039,Media Performance,58,0,350000
2024-05-01,SMS-1040,Media Performance,12,0,350000
2024-05-01,SMS-1040,Creative Production,37,12577684,350000
2024-05-01,SMS-1041,Creative Production,98,35327446,350000
2024-05-01,SMS-1042,Media Performance,66,0,350000
2024-05-01,SMS-1042,Digital Strategy,72,0,350000
2024-05-01,SMS-1043,Media Performance,16,0,350000
2024-05-01,SMS-1044,Media Performance,62,0,350000
2024-05-01,SMS-1045,Digital Strategy,43,0,350000
2024-05-01,SMS-1045,Creative Production,79,33591692,350000
2024-05-01,SMS-1046,Creative Production,85,18274015,350000
2024-05-01,SMS-1047,Creative Production,72,34688414,350000
2024-05-01,SMS-1049,Media Performance,43,0,350000
2024-05-01,SMS-1050,Media Performance,53,0,350000
2024-05-01,SMS-1051,Digital Strategy,127,0,350000
2024-05-01,SMS-1052,Digital Strategy,36,0,350000
2024-05-01,SMS-1053,Digital Strategy,36,0,350000
2024-05-01,SMS-1054,Media Performance,25,0,350000
2024-05-01,SMS-1055,Creative Production,51,29599252,350000
2024-05-01,SMS-1056,Creative Production,180,103152938,350000
2024-05-01,SMS-1056,Digital Strategy,123,0,350000
2024-05-01,SMS-1058,Creative Production,72,31859605,350000
2024-05-01,SMS-1059,Media Performance,120,0,350000
2024-05-01,SMS-1060,Media Performance,23,0,350000
2024-05-01,SMS-1060,Digital Strategy,27,0,350000
2024-05-01,SMS-1061,Media Performance,12,0,350000
2024-05-01,SMS-1062,Digital Strategy,35,0,350000
2024-05-01,SMS-1063,Media Performance,16,0,350000
2024-05-01,SMS-1064,Digital Strategy,61,0,350000
2024-05-01,SMS-1065,Digital Strategy,64,0,350000
2024-05-01,SMS-1067,Creative Production,93,25382194,350000
2024-05-01,SMS-1069,Creative Production,33,11581896,350000
2024-05-01,SMS-1070,Media Performance,58,0,350000
2024-05-01,SMS-1070,Digital Strategy,43,0,350000
2024-05-01,SMS-1071,Digital Strategy,13,0,350000
2024-05-01,SMS-1072,Media Performance,22,0,350000
2024-05-01,SMS-1073,Digital Strategy,21,0,350000
2024-05-01,SMS-1075,Digital Strategy,48,0,350000
2024-05-01,SMS-1076,Creative Production,21,17618823,350000
2024-05-01,SMS-1078,Digital Strategy,54,0,350000
2024-05-01,SMS-1079,Media Performance,59,0,350000
2024-05-01,SMS-1080,Creative Production,51,26860811,350000
2024-05-01,SMS-1083,Media Performance,20,0,350000
2024-05-01,SMS-1084,Media Performance,17,0,350000
2024-05-01,SMS-1086,Creative Production,19,11296199,350000
2024-05-01,SMS-1087,Creative Production,82,24876165,350000
2024-05-01,SMS-1087,Digital Strategy,56,0,350000
2024-05-01,SMS-1089,Creative Production,234,73035888,350000
2024-05-01,SMS-1090,Digital Strategy,161,0,350000
2024-05-01,SMS-1091,Media Performance,57,0,350000
2024-05-01,SMS-1092,Digital Strategy,64,0,350000
2024-05-01,SMS-1092,Media Performance,35,0,350000
2024-05-01,SMS-1093,Creative Production,75,21277113,350000
2024-05-01,SMS-1094,Digital Strategy,29,0,350000
2024-05-01,SMS-1095,Digital Strategy,63,0,350000
2024-05-01,SMS-1096,Digital Strategy,14,0,350000
2024-05-01,SMS-1097,Media Performance,15,0,350000
2024-05-01,SMS-1098,Media Performance,18,0,350000
2024-05-01,SMS-1100,Media Performance,58,0,350000
2024-05-01,SMS-1101,Creative Production,260,73110537,350000
2024-05-01,SMS-1102,Creative Production,30,13996899,350000
2024-05-01,SMS-1105,Creative Production,89,31527457,350000
2024-05-01,SMS-1106,Media Performance,157,0,350000
2024-05-01,SMS-1107,Digital Strategy,55,0,350000
2024-05-01,SMS-1108,Media Performance,65,0,350000
2024-05-01,SMS-1109,Digital Strategy,150,0,350000
2024-05-01,SMS-1110,Digital Strategy,14,0,350000
2024-05-01,SMS-1111,Creative Production,230,65673221,350000
2024-05-01,SMS-1112,Digital Strategy,56,0,350000
2024-05-01,SMS-1113,Creative Production,86,16531257,350000
2024-05-01,SMS-1113,Digital Strategy,40,0,350000
2024-05-01,SMS-1114,Media Performance,51,0,350000
2024-05-01,SMS-1115,Digital Strategy,14,0,350000
2024-05-01,SMS-1116,Creative Production,86,34776924,350000
2024-05-01,SMS-1117,Media Performance,45,0,350000
2024-05-01,SMS-1119,Digital Strategy,176,0,350000
2024-05-01,SMS-1121,Creative Production,197,89932934,350000
2024-05-01,SMS-1122,Creative Production,26,18207145,350000
2024-05-01,SMS-1122,Digital Strategy,23,0,350000
2024-05-01,SMS-1123,Digital Strategy,60,0,350000
2024-05-01,SMS-1124,Media Performance,182,0,350000
2024-05-01,SMS-1125,Digital Strategy,57,0,350000
2024-05-01,SMS-1125,Creative Production,50,32104305,350000
2024-05-01,SMS-1126,Digital Strategy,147,0,350000
2024-05-01,SMS-1126,Media Performance,121,0,350000
2024-05-01,SMS-1127,Digital Strategy,23,0,350000
2024-05-01,SMS-1129,Digital Strategy,27,0,350000
2024-05-01,SMS-1129,Creative Production,35,16614457,350000
2024-05-01,SMS-1130,Creative Production,61,19233375,350000
2024-05-01,SMS-1131,Digital Strategy,171,0,350000
2024-05-01,SMS-1132,Creative Production,30,7380419,350000
2024-05-01,SMS-1133,Digital Strategy,74,0,350000
2024-05-01,SMS-1134,Digital Strategy,28,0,350000
2024-05-01,SMS-1134,Creative Production,35,15196229,350000
2024-05-01,SMS-1135,Creative Production,53,34976574,350000
2024-05-01,SMS-1136,Creative Production,56,48404992,350000
2024-05-01,SMS-1137,Media Performance,19,0,350000
2024-05-01,SMS-1137,Creative Production,39,11694647,350000
2024-05-01,SMS-1138,Media Performance,12,0,350000
2024-05-01,SMS-1139,Digital Strategy,64,0,350000
2024-05-01,SMS-1139,Media Performance,61,0,350000
2024-05-01,SMS-1140,Creative Production,236,92233744,350000
2024-05-01,SMS-1140,Digital Strategy,145,0,350000
2024-05-01,SMS-1141,Media Performance,24,0,350000
2024-05-01,SMS-1142,Creative Production,23,17925034,350000
2024-05-01,SMS-1143,Digital Strategy,19,0,350000
2024-05-01,SMS-1143,Creative Production,35,14309552,350000
2024-05-01,SMS-1144,Creative Production,171,104165798,350000
2024-05-01,SMS-1144,Media Performance,141,0,350000
2024-05-01,SMS-1145,Creative Production,19,15676047,350000
2024-05-01,SMS-1145,Digital Strategy,20,0,350000
2024-05-01,SMS-1146,Digital Strategy,67,0,350000
2024-05-01,SMS-1147,Digital Strategy,173,0,350000
2024-05-01,SMS-1147,Creative Production,197,78986498,350000
2024-05-01,SMS-1148,Digital Strategy,67,0,350000
2024-05-01,SMS-1149,Creative Production,62,17716391,350000
2024-06-01,SMS-1000,Media Performance,26,0,350000
2024-06-01,SMS-1001,Digital Strategy,26,0,350000
2024-06-01,SMS-1001,Media Performance,17,0,350000
2024-06-01,SMS-1002,Digital Strategy,19,0,350000
2024-06-01,SMS-1003,Media Performance,21,0,350000
2024-06-01,SMS-1004,Digital Strategy,17,0,350000
